vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
LAX,25.0,27.5,0,CHARGING,LAX_PARK11,00:00:00
DTLA,27.5,27.5,0,PARKING,DTLA_PARK11,00:00:00
DTLA,25.0,25.0,0,PARKING,DTLA_PARK12,00:00:00
DTLA,25.0,25.0,0,PARKING,DTLA_PARK13,00:00:00
LAX,57.5,57.5,0,PARKING,LAX_PARK12,00:00:00
LAX,52.5,52.5,0,PARKING,LAX_PARK13,00:00:00
DTLA,27.5,27.5,0,PARKING,DTLA_PARK14,00:00:00
DTLA,45.0,45.0,0,PARKING,DTLA_PARK15,00:00:00
DTLA,35.0,37.5,0,CHARGING,DTLA_PARK16,00:00:00
DTLA,35.0,37.5,0,CHARGING,DTLA_PARK17,00:00:00
LAX,57.5,60.0,0,CHARGING,LAX_PARK14,00:00:00
LAX,47.5,52.5,0,CHARGING,LAX_PARK15,00:00:00
LAX,32.5,50.0,0,CHARGING,LAX_PARK16,00:00:00
LAX,57.5,60.0,300,CHARGING,,00:05:00
DTLA,27.5,30.0,300,CHARGING,,00:05:00
LAX,27.5,47.5,900,CHARGING,,00:15:00
DTLA,47.5,50.0,900,CHARGING,,00:15:00
LAX,40.0,42.5,900,CHARGING,,00:15:00
LAX,32.5,37.5,900,CHARGING,,00:15:00
LAX,42.5,55.0,1500,CHARGING,,00:25:00
LAX,32.5,42.5,1800,CHARGING,,00:30:00
LAX,22.5,25.0,1800,CHARGING,,00:30:00
DTLA,20.0,25.0,2400,CHARGING,,00:40:00
LAX,47.5,50.0,2400,CHARGING,,00:40:00
DTLA,47.5,57.5,2700,CHARGING,,00:45:00
DTLA,20.0,22.5,2700,CHARGING,,00:45:00
LAX,42.5,45.0,2700,CHARGING,,00:45:00
DTLA,22.5,32.5,3300,CHARGING,,00:55:00
LAX,20.0,25.0,3600,CHARGING,,01:00:00
LAX,40.0,42.5,3600,CHARGING,,01:00:00
LAX,20.0,25.0,3600,CHARGING,,01:00:00
LAX,42.5,57.5,3900,CHARGING,,01:05:00
DTLA,50.0,60.0,3900,CHARGING,,01:05:00
LAX,50.0,52.5,4200,CHARGING,,01:10:00
DTLA,22.5,30.0,4500,CHARGING,,01:15:00
LAX,35.0,55.0,4500,CHARGING,,01:15:00
LAX,52.5,55.0,5100,CHARGING,,01:25:00
LAX,27.5,32.5,5400,CHARGING,,01:30:00
LAX,50.0,55.0,5400,CHARGING,,01:30:00
LAX,32.5,47.5,5700,CHARGING,,01:35:00
DTLA,57.5,60.0,6000,CHARGING,,01:40:00
DTLA,30.0,40.0,7200,CHARGING,,02:00:00
DTLA,30.0,40.0,7200,CHARGING,,02:00:00
LAX,25.0,27.5,7500,CHARGING,,02:05:00
LAX,25.0,27.5,7500,CHARGING,,02:05:00
LAX,20.0,32.5,7800,CHARGING,,02:10:00
DTLA,42.5,45.0,8100,CHARGING,,02:15:00
DTLA,40.0,45.0,8700,CHARGING,,02:25:00
DTLA,40.0,45.0,8700,CHARGING,,02:25:00
DTLA,22.5,25.0,9300,CHARGING,,02:35:00
DTLA,22.5,25.0,9300,CHARGING,,02:35:00
DTLA,50.0,52.5,10200,CHARGING,,02:50:00
DTLA,50.0,57.5,10500,CHARGING,,02:55:00
DTLA,52.5,55.0,10500,CHARGING,,02:55:00
DTLA,25.0,37.5,10500,CHARGING,,02:55:00
DTLA,25.0,30.0,11100,CHARGING,,03:05:00
DTLA,40.0,42.5,11400,CHARGING,,03:10:00
DTLA,45.0,50.0,11400,CHARGING,,03:10:00
DTLA,30.0,37.5,11700,CHARGING,,03:15:00
LAX,50.0,60.0,11700,CHARGING,,03:15:00
DTLA,27.5,30.0,11700,CHARGING,,03:15:00
DTLA,50.0,55.0,12000,CHARGING,,03:20:00
DTLA,42.5,47.5,12000,CHARGING,,03:20:00
DTLA,45.0,55.0,12300,CHARGING,,03:25:00
DTLA,37.5,47.5,12300,CHARGING,,03:25:00
DTLA,45.0,52.5,12300,CHARGING,,03:25:00
DTLA,45.0,55.0,12300,CHARGING,,03:25:00
DTLA,47.5,57.5,12600,CHARGING,,03:30:00
LAX,25.0,45.0,12900,CHARGING,,03:35:00
DTLA,27.5,35.0,13200,CHARGING,,03:40:00
DTLA,42.5,45.0,14100,CHARGING,,03:55:00
LAX,45.0,47.5,14400,CHARGING,,04:00:00
DTLA,55.0,57.5,14400,CHARGING,,04:00:00
DTLA,55.0,57.5,14400,CHARGING,,04:00:00
LAX,47.5,52.5,14700,CHARGING,,04:05:00
LAX,40.0,57.5,15000,CHARGING,,04:10:00
DTLA,52.5,55.0,15300,CHARGING,,04:15:00
LAX,40.0,42.5,15300,CHARGING,,04:15:00
LAX,42.5,50.0,15600,CHARGING,,04:20:00
DTLA,50.0,55.0,15600,CHARGING,,04:20:00
DTLA,37.5,40.0,15900,CHARGING,,04:25:00
LAX,42.5,47.5,15900,CHARGING,,04:25:00
LAX,47.5,52.5,16500,CHARGING,,04:35:00
DTLA,47.5,55.0,17100,CHARGING,,04:45:00
DTLA,25.0,40.0,17100,CHARGING,,04:45:00
DTLA,47.5,55.0,17100,CHARGING,,04:45:00
LAX,35.0,37.5,17400,CHARGING,,04:50:00
LAX,35.0,42.5,17700,CHARGING,,04:55:00
LAX,42.5,52.5,18000,CHARGING,,05:00:00
DTLA,32.5,50.0,18300,CHARGING,,05:05:00
DTLA,37.5,45.0,18300,CHARGING,,05:05:00
LAX,40.0,42.5,18600,CHARGING,,05:10:00
LAX,40.0,42.5,18600,CHARGING,,05:10:00
DTLA,35.0,55.0,18900,CHARGING,,05:15:00
DTLA,52.5,55.0,18900,CHARGING,,05:15:00
LAX,50.0,55.0,19200,CHARGING,,05:20:00
LAX,50.0,55.0,19200,CHARGING,,05:20:00
LAX,32.5,37.5,19800,CHARGING,,05:30:00
LAX,55.0,57.5,20400,CHARGING,,05:40:00
LAX,55.0,57.5,20400,CHARGING,,05:40:00
DTLA,32.5,40.0,20700,CHARGING,,05:45:00
LAX,32.5,40.0,20700,CHARGING,,05:45:00
DTLA,20.0,22.5,21300,CHARGING,,05:55:00
LAX,40.0,50.0,21300,CHARGING,,05:55:00
DTLA,40.0,45.0,21300,CHARGING,,05:55:00
DTLA,40.0,47.5,21300,CHARGING,,05:55:00
LAX,40.0,42.5,21600,CHARGING,,06:00:00
DTLA,22.5,30.0,21600,CHARGING,,06:00:00
LAX,22.5,32.5,22200,CHARGING,,06:10:00
LAX,42.5,50.0,22200,CHARGING,,06:10:00
LAX,20.0,22.5,22500,CHARGING,,06:15:00
LAX,20.0,22.5,22500,CHARGING,,06:15:00
LAX,22.5,25.0,22800,CHARGING,,06:20:00
LAX,22.5,25.0,22800,CHARGING,,06:20:00
DTLA,37.5,40.0,22800,CHARGING,,06:20:00
LAX,40.0,42.5,23100,CHARGING,,06:25:00
LAX,40.0,42.5,23100,CHARGING,,06:25:00
LAX,25.0,30.0,23100,CHARGING,,06:25:00
LAX,25.0,30.0,23100,CHARGING,,06:25:00
DTLA,27.5,32.5,23400,CHARGING,,06:30:00
DTLA,20.0,22.5,23400,CHARGING,,06:30:00
DTLA,45.0,47.5,23400,CHARGING,,06:30:00
DTLA,22.5,27.5,23700,CHARGING,,06:35:00
DTLA,32.5,45.0,23700,CHARGING,,06:35:00
LAX,22.5,45.0,23700,CHARGING,,06:35:00
DTLA,27.5,30.0,24000,CHARGING,,06:40:00
DTLA,37.5,50.0,24000,CHARGING,,06:40:00
DTLA,37.5,50.0,24000,CHARGING,,06:40:00
DTLA,42.5,45.0,24300,CHARGING,,06:45:00
DTLA,42.5,45.0,24300,CHARGING,,06:45:00
LAX,20.0,22.5,24600,CHARGING,,06:50:00
DTLA,27.5,45.0,24600,CHARGING,,06:50:00
LAX,22.5,27.5,24900,CHARGING,,06:55:00
DTLA,37.5,42.5,24900,CHARGING,,06:55:00
DTLA,35.0,37.5,25200,CHARGING,,07:00:00
LAX,27.5,40.0,25200,CHARGING,,07:00:00
DTLA,20.0,27.5,25500,CHARGING,,07:05:00
LAX,40.0,52.5,25500,CHARGING,,07:05:00
LAX,40.0,52.5,25500,CHARGING,,07:05:00
LAX,20.0,22.5,25500,CHARGING,,07:05:00
DTLA,20.0,27.5,25500,CHARGING,,07:05:00
LAX,22.5,40.0,25800,CHARGING,,07:10:00
LAX,45.0,50.0,25800,CHARGING,,07:10:00
LAX,45.0,50.0,25800,CHARGING,,07:10:00
DTLA,27.5,30.0,26100,CHARGING,,07:15:00
DTLA,27.5,30.0,26100,CHARGING,,07:15:00
LAX,40.0,50.0,26400,CHARGING,,07:20:00
DTLA,40.0,47.5,26400,CHARGING,,07:20:00
LAX,40.0,42.5,27000,CHARGING,,07:30:00
LAX,25.0,35.0,27000,CHARGING,,07:30:00
LAX,25.0,35.0,27000,CHARGING,,07:30:00
LAX,37.5,50.0,27000,CHARGING,,07:30:00
LAX,22.5,27.5,27300,CHARGING,,07:35:00
LAX,30.0,32.5,27300,CHARGING,,07:35:00
DTLA,25.0,35.0,27300,CHARGING,,07:35:00
DTLA,35.0,52.5,27900,CHARGING,,07:45:00
LAX,32.5,35.0,28200,CHARGING,,07:50:00
DTLA,22.5,45.0,28200,CHARGING,,07:50:00
LAX,42.5,45.0,28200,CHARGING,,07:50:00
LAX,42.5,45.0,28200,CHARGING,,07:50:00
DTLA,45.0,52.5,28200,CHARGING,,07:50:00
LAX,35.0,37.5,28500,CHARGING,,07:55:00
DTLA,37.5,47.5,28500,CHARGING,,07:55:00
LAX,37.5,47.5,28800,CHARGING,,08:00:00
DTLA,40.0,52.5,29100,CHARGING,,08:05:00
DTLA,47.5,57.5,29400,CHARGING,,08:10:00
DTLA,25.0,27.5,29400,CHARGING,,08:10:00
DTLA,20.0,25.0,29700,CHARGING,,08:15:00
LAX,35.0,45.0,29700,CHARGING,,08:15:00
DTLA,52.5,55.0,29700,CHARGING,,08:15:00
DTLA,20.0,25.0,29700,CHARGING,,08:15:00
LAX,20.0,25.0,30000,CHARGING,,08:20:00
DTLA,35.0,40.0,30000,CHARGING,,08:20:00
DTLA,42.5,45.0,30300,CHARGING,,08:25:00
LAX,20.0,50.0,30600,CHARGING,,08:30:00
DTLA,42.5,45.0,30600,CHARGING,,08:30:00
DTLA,52.5,55.0,30600,CHARGING,,08:30:00
LAX,45.0,47.5,30900,CHARGING,,08:35:00
LAX,20.0,22.5,30900,CHARGING,,08:35:00
LAX,22.5,32.5,31200,CHARGING,,08:40:00
LAX,22.5,32.5,31200,CHARGING,,08:40:00
DTLA,20.0,32.5,31200,CHARGING,,08:40:00
LAX,22.5,25.0,31200,CHARGING,,08:40:00
LAX,35.0,42.5,31500,CHARGING,,08:45:00
LAX,32.5,35.0,31800,CHARGING,,08:50:00
LAX,40.0,47.5,32100,CHARGING,,08:55:00
DTLA,35.0,45.0,32100,CHARGING,,08:55:00
DTLA,20.0,22.5,32100,CHARGING,,08:55:00
LAX,42.5,45.0,32100,CHARGING,,08:55:00
LAX,40.0,47.5,32100,CHARGING,,08:55:00
DTLA,27.5,40.0,32400,CHARGING,,09:00:00
DTLA,22.5,42.5,33000,CHARGING,,09:10:00
DTLA,32.5,50.0,33000,CHARGING,,09:10:00
LAX,20.0,27.5,33000,CHARGING,,09:10:00
LAX,27.5,32.5,33000,CHARGING,,09:10:00
LAX,25.0,30.0,33600,CHARGING,,09:20:00
DTLA,42.5,45.0,33600,CHARGING,,09:20:00
DTLA,42.5,45.0,33600,CHARGING,,09:20:00
DTLA,47.5,52.5,33600,CHARGING,,09:20:00
DTLA,22.5,40.0,34200,CHARGING,,09:30:00
DTLA,35.0,37.5,34200,CHARGING,,09:30:00
LAX,22.5,32.5,34500,CHARGING,,09:35:00
DTLA,37.5,55.0,34500,CHARGING,,09:35:00
LAX,20.0,32.5,35100,CHARGING,,09:45:00
LAX,30.0,42.5,35700,CHARGING,,09:55:00
DTLA,27.5,37.5,35700,CHARGING,,09:55:00
DTLA,42.5,45.0,36000,CHARGING,,10:00:00
LAX,35.0,37.5,36000,CHARGING,,10:00:00
DTLA,20.0,55.0,36000,CHARGING,,10:00:00
DTLA,25.0,35.0,36000,CHARGING,,10:00:00
DTLA,20.0,22.5,36300,CHARGING,,10:05:00
DTLA,25.0,40.0,36300,CHARGING,,10:05:00
DTLA,27.5,42.5,36300,CHARGING,,10:05:00
LAX,20.0,55.0,36300,CHARGING,,10:05:00
DTLA,22.5,27.5,36600,CHARGING,,10:10:00
LAX,32.5,37.5,36900,CHARGING,,10:15:00
DTLA,32.5,37.5,36900,CHARGING,,10:15:00
DTLA,22.5,42.5,36900,CHARGING,,10:15:00
DTLA,37.5,40.0,37200,CHARGING,,10:20:00
DTLA,42.5,50.0,37200,CHARGING,,10:20:00
DTLA,37.5,40.0,37200,CHARGING,,10:20:00
LAX,22.5,30.0,37500,CHARGING,,10:25:00
DTLA,35.0,42.5,37500,CHARGING,,10:25:00
DTLA,55.0,57.5,37500,CHARGING,,10:25:00
DTLA,25.0,40.0,37800,CHARGING,,10:30:00
DTLA,32.5,47.5,38100,CHARGING,,10:35:00
LAX,25.0,35.0,38400,CHARGING,,10:40:00
DTLA,30.0,42.5,38400,CHARGING,,10:40:00
LAX,37.5,40.0,38700,CHARGING,,10:45:00
DTLA,25.0,30.0,38700,CHARGING,,10:45:00
LAX,37.5,45.0,39000,CHARGING,,10:50:00
DTLA,42.5,45.0,39300,CHARGING,,10:55:00
DTLA,30.0,45.0,39300,CHARGING,,10:55:00
DTLA,30.0,35.0,39900,CHARGING,,11:05:00
LAX,42.5,50.0,39900,CHARGING,,11:05:00
LAX,25.0,27.5,40200,CHARGING,,11:10:00
DTLA,20.0,35.0,40200,CHARGING,,11:10:00
DTLA,45.0,47.5,40200,CHARGING,,11:10:00
DTLA,30.0,35.0,40500,CHARGING,,11:15:00
DTLA,45.0,47.5,40500,CHARGING,,11:15:00
LAX,30.0,32.5,40800,CHARGING,,11:20:00
DTLA,25.0,30.0,41100,CHARGING,,11:25:00
DTLA,20.0,25.0,41100,CHARGING,,11:25:00
DTLA,22.5,32.5,41100,CHARGING,,11:25:00
DTLA,32.5,35.0,41700,CHARGING,,11:35:00
DTLA,27.5,35.0,41700,CHARGING,,11:35:00
LAX,20.0,22.5,42000,CHARGING,,11:40:00
LAX,25.0,30.0,42000,CHARGING,,11:40:00
LAX,22.5,27.5,42300,CHARGING,,11:45:00
LAX,25.0,40.0,42300,CHARGING,,11:45:00
LAX,20.0,32.5,42600,CHARGING,,11:50:00
DTLA,30.0,35.0,42600,CHARGING,,11:50:00
LAX,32.5,40.0,42600,CHARGING,,11:50:00
LAX,22.5,35.0,42900,CHARGING,,11:55:00
LAX,20.0,27.5,42900,CHARGING,,11:55:00
DTLA,25.0,37.5,42900,CHARGING,,11:55:00
LAX,20.0,35.0,42900,CHARGING,,11:55:00
DTLA,22.5,47.5,43200,CHARGING,,12:00:00
LAX,32.5,35.0,43200,CHARGING,,12:00:00
LAX,22.5,42.5,43500,CHARGING,,12:05:00
LAX,27.5,37.5,43500,CHARGING,,12:05:00
LAX,30.0,35.0,43500,CHARGING,,12:05:00
LAX,20.0,50.0,43800,CHARGING,,12:10:00
DTLA,35.0,42.5,43800,CHARGING,,12:10:00
DTLA,35.0,45.0,43800,CHARGING,,12:10:00
LAX,20.0,22.5,44100,CHARGING,,12:15:00
LAX,22.5,27.5,44400,CHARGING,,12:20:00
LAX,20.0,37.5,44400,CHARGING,,12:20:00
DTLA,30.0,40.0,44700,CHARGING,,12:25:00
LAX,42.5,50.0,44700,CHARGING,,12:25:00
LAX,25.0,35.0,44700,CHARGING,,12:25:00
LAX,25.0,35.0,44700,CHARGING,,12:25:00
DTLA,27.5,50.0,45000,CHARGING,,12:30:00
