vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
DTLA,32.5,37.5,45000,CHARGING,,12:30:00
LAX,25.0,47.5,45000,CHARGING,,12:30:00
LAX,40.0,42.5,45300,CHARGING,,12:35:00
DTLA,32.5,37.5,45600,CHARGING,,12:40:00
DTLA,22.5,25.0,45600,CHARGING,,12:40:00
LAX,35.0,37.5,45900,CHARGING,,12:45:00
DTLA,30.0,35.0,45900,CHARGING,,12:45:00
DTLA,37.5,50.0,46200,CHARGING,,12:50:00
LAX,32.5,40.0,46500,CHARGING,,12:55:00
LAX,20.0,27.5,46500,CHARGING,,12:55:00
DTLA,30.0,40.0,46500,CHARGING,,12:55:00
LAX,30.0,45.0,46800,CHARGING,,13:00:00
DTLA,27.5,30.0,47400,CHARGING,,13:10:00
LAX,22.5,35.0,47700,CHARGING,,13:15:00
DTLA,22.5,35.0,47700,CHARGING,,13:15:00
LAX,35.0,42.5,48300,CHARGING,,13:25:00
LAX,37.5,47.5,48300,CHARGING,,13:25:00
DTLA,22.5,32.5,48300,CHARGING,,13:25:00
DTLA,22.5,32.5,48300,CHARGING,,13:25:00
DTLA,30.0,45.0,48600,CHARGING,,13:30:00
DTLA,20.0,35.0,48900,CHARGING,,13:35:00
LAX,35.0,40.0,49200,CHARGING,,13:40:00
LAX,35.0,42.5,49500,CHARGING,,13:45:00
LAX,27.5,32.5,49500,CHARGING,,13:45:00
LAX,27.5,32.5,49500,CHARGING,,13:45:00
LAX,20.0,42.5,49800,CHARGING,,13:50:00
LAX,20.0,25.0,49800,CHARGING,,13:50:00
LAX,20.0,25.0,49800,CHARGING,,13:50:00
DTLA,35.0,42.5,49800,CHARGING,,13:50:00
LAX,20.0,37.5,50100,CHARGING,,13:55:00
LAX,32.5,35.0,50100,CHARGING,,13:55:00
LAX,25.0,45.0,50700,CHARGING,,14:05:00
LAX,25.0,45.0,50700,CHARGING,,14:05:00
DTLA,20.0,32.5,51000,CHARGING,,14:10:00
LAX,22.5,50.0,51000,CHARGING,,14:10:00
LAX,22.5,50.0,51000,CHARGING,,14:10:00
DTLA,32.5,40.0,51300,CHARGING,,14:15:00
LAX,25.0,30.0,51600,CHARGING,,14:20:00
DTLA,35.0,47.5,51600,CHARGING,,14:20:00
LAX,27.5,35.0,52200,CHARGING,,14:30:00
DTLA,32.5,37.5,52200,CHARGING,,14:30:00
DTLA,32.5,37.5,52200,CHARGING,,14:30:00
LAX,22.5,25.0,52800,CHARGING,,14:40:00
DTLA,40.0,45.0,52800,CHARGING,,14:40:00
DTLA,40.0,47.5,52800,CHARGING,,14:40:00
LAX,20.0,40.0,53100,CHARGING,,14:45:00
LAX,20.0,25.0,53100,CHARGING,,14:45:00
DTLA,30.0,42.5,53400,CHARGING,,14:50:00
LAX,25.0,45.0,53400,CHARGING,,14:50:00
LAX,22.5,25.0,54000,CHARGING,,15:00:00
DTLA,20.0,37.5,54000,CHARGING,,15:00:00
DTLA,45.0,52.5,54000,CHARGING,,15:00:00
LAX,42.5,45.0,54300,CHARGING,,15:05:00
LAX,45.0,55.0,54600,CHARGING,,15:10:00
LAX,45.0,52.5,54900,CHARGING,,15:15:00
DTLA,20.0,35.0,54900,CHARGING,,15:15:00
DTLA,20.0,42.5,55200,CHARGING,,15:20:00
LAX,22.5,37.5,55200,CHARGING,,15:20:00
DTLA,32.5,40.0,55500,CHARGING,,15:25:00
LAX,22.5,25.0,55500,CHARGING,,15:25:00
LAX,25.0,47.5,55800,CHARGING,,15:30:00
LAX,47.5,50.0,56400,CHARGING,,15:40:00
LAX,22.5,42.5,56400,CHARGING,,15:40:00
LAX,20.0,35.0,56700,CHARGING,,15:45:00
DTLA,47.5,50.0,56700,CHARGING,,15:45:00
LAX,37.5,40.0,57000,CHARGING,,15:50:00
DTLA,27.5,37.5,57000,CHARGING,,15:50:00
LAX,27.5,32.5,57300,CHARGING,,15:55:00
LAX,47.5,50.0,57300,CHARGING,,15:55:00
LAX,20.0,27.5,57600,CHARGING,,16:00:00
LAX,20.0,22.5,57900,CHARGING,,16:05:00
LAX,20.0,25.0,57900,CHARGING,,16:05:00
LAX,22.5,27.5,58200,CHARGING,,16:10:00
LAX,25.0,45.0,58200,CHARGING,,16:10:00
LAX,27.5,35.0,58200,CHARGING,,16:10:00
LAX,40.0,52.5,58200,CHARGING,,16:10:00
DTLA,30.0,52.5,58200,CHARGING,,16:10:00
DTLA,27.5,32.5,58800,CHARGING,,16:20:00
DTLA,40.0,42.5,58800,CHARGING,,16:20:00
LAX,25.0,30.0,58800,CHARGING,,16:20:00
LAX,30.0,32.5,58800,CHARGING,,16:20:00
DTLA,40.0,45.0,59100,CHARGING,,16:25:00
LAX,40.0,47.5,59100,CHARGING,,16:25:00
LAX,32.5,42.5,59100,CHARGING,,16:25:00
DTLA,27.5,32.5,59400,CHARGING,,16:30:00
DTLA,22.5,27.5,59400,CHARGING,,16:30:00
LAX,32.5,42.5,59400,CHARGING,,16:30:00
LAX,37.5,40.0,59700,CHARGING,,16:35:00
LAX,27.5,30.0,59700,CHARGING,,16:35:00
DTLA,25.0,37.5,60000,CHARGING,,16:40:00
LAX,22.5,27.5,60300,CHARGING,,16:45:00
LAX,27.5,32.5,60300,CHARGING,,16:45:00
LAX,40.0,50.0,60300,CHARGING,,16:45:00
LAX,25.0,47.5,60600,CHARGING,,16:50:00
LAX,27.5,40.0,60600,CHARGING,,16:50:00
LAX,35.0,50.0,60900,CHARGING,,16:55:00
LAX,32.5,37.5,61200,CHARGING,,17:00:00
DTLA,27.5,32.5,61200,CHARGING,,17:00:00
DTLA,47.5,50.0,61200,CHARGING,,17:00:00
LAX,37.5,40.0,61500,CHARGING,,17:05:00
LAX,37.5,40.0,61500,CHARGING,,17:05:00
DTLA,32.5,35.0,61500,CHARGING,,17:05:00
LAX,20.0,27.5,61800,CHARGING,,17:10:00
DTLA,42.5,47.5,61800,CHARGING,,17:10:00
LAX,47.5,52.5,62100,CHARGING,,17:15:00
DTLA,25.0,27.5,62400,CHARGING,,17:20:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,32.5,40.0,63000,CHARGING,,17:30:00
DTLA,32.5,40.0,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
DTLA,25.0,37.5,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
LAX,52.5,55.0,63300,CHARGING,,17:35:00
DTLA,22.5,35.0,63300,CHARGING,,17:35:00
DTLA,35.0,37.5,63300,CHARGING,,17:35:00
LAX,27.5,32.5,63600,CHARGING,,17:40:00
LAX,40.0,45.0,63600,CHARGING,,17:40:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
LAX,30.0,40.0,64500,CHARGING,,17:55:00
DTLA,27.5,57.5,64500,CHARGING,,17:55:00
LAX,25.0,42.5,64800,CHARGING,,18:00:00
LAX,45.0,52.5,65100,CHARGING,,18:05:00
DTLA,27.5,42.5,65100,CHARGING,,18:05:00
LAX,22.5,35.0,65700,CHARGING,,18:15:00
LAX,22.5,35.0,65700,CHARGING,,18:15:00
LAX,35.0,52.5,65700,CHARGING,,18:15:00
LAX,30.0,37.5,66300,CHARGING,,18:25:00
DTLA,20.0,25.0,66300,CHARGING,,18:25:00
DTLA,20.0,25.0,66300,CHARGING,,18:25:00
DTLA,35.0,57.5,66600,CHARGING,,18:30:00
DTLA,35.0,47.5,66600,CHARGING,,18:30:00
DTLA,35.0,47.5,66600,CHARGING,,18:30:00
LAX,37.5,42.5,66600,CHARGING,,18:30:00
LAX,20.0,40.0,67200,CHARGING,,18:40:00
LAX,20.0,35.0,67200,CHARGING,,18:40:00
DTLA,32.5,37.5,67500,CHARGING,,18:45:00
LAX,25.0,37.5,67500,CHARGING,,18:45:00
DTLA,37.5,40.0,68100,CHARGING,,18:55:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,37.5,40.0,68400,CHARGING,,19:00:00
LAX,52.5,55.0,69000,CHARGING,,19:10:00
DTLA,20.0,25.0,69300,CHARGING,,19:15:00
LAX,35.0,37.5,69300,CHARGING,,19:15:00
LAX,40.0,42.5,69300,CHARGING,,19:15:00
LAX,22.5,25.0,69600,CHARGING,,19:20:00
LAX,55.0,57.5,69600,CHARGING,,19:20:00
DTLA,20.0,55.0,69900,CHARGING,,19:25:00
LAX,30.0,45.0,69900,CHARGING,,19:25:00
LAX,25.0,35.0,70200,CHARGING,,19:30:00
DTLA,37.5,45.0,70200,CHARGING,,19:30:00
DTLA,27.5,35.0,70500,CHARGING,,19:35:00
LAX,32.5,52.5,70800,CHARGING,,19:40:00
LAX,20.0,27.5,70800,CHARGING,,19:40:00
DTLA,32.5,37.5,70800,CHARGING,,19:40:00
LAX,27.5,30.0,71400,CHARGING,,19:50:00
DTLA,35.0,45.0,71400,CHARGING,,19:50:00
LAX,30.0,32.5,71700,CHARGING,,19:55:00
LAX,37.5,42.5,71700,CHARGING,,19:55:00
DTLA,40.0,47.5,71700,CHARGING,,19:55:00
DTLA,22.5,27.5,72000,CHARGING,,20:00:00
DTLA,27.5,50.0,72600,CHARGING,,20:10:00
LAX,42.5,45.0,72600,CHARGING,,20:10:00
DTLA,27.5,30.0,72900,CHARGING,,20:15:00
DTLA,27.5,37.5,72900,CHARGING,,20:15:00
DTLA,47.5,50.0,72900,CHARGING,,20:15:00
DTLA,20.0,37.5,73200,CHARGING,,20:20:00
DTLA,22.5,32.5,73200,CHARGING,,20:20:00
DTLA,25.0,37.5,73200,CHARGING,,20:20:00
DTLA,37.5,40.0,73500,CHARGING,,20:25:00
DTLA,47.5,50.0,73500,CHARGING,,20:25:00
DTLA,27.5,35.0,73800,CHARGING,,20:30:00
LAX,37.5,40.0,73800,CHARGING,,20:30:00
DTLA,37.5,47.5,74100,CHARGING,,20:35:00
DTLA,45.0,47.5,74100,CHARGING,,20:35:00
DTLA,37.5,47.5,74100,CHARGING,,20:35:00
DTLA,20.0,22.5,74400,CHARGING,,20:40:00
LAX,27.5,40.0,74700,CHARGING,,20:45:00
DTLA,22.5,27.5,74700,CHARGING,,20:45:00
DTLA,27.5,32.5,75000,CHARGING,,20:50:00
DTLA,30.0,32.5,75000,CHARGING,,20:50:00
DTLA,30.0,32.5,75000,CHARGING,,20:50:00
LAX,30.0,32.5,75000,CHARGING,,20:50:00
LAX,30.0,40.0,75300,CHARGING,,20:55:00
DTLA,40.0,45.0,75600,CHARGING,,21:00:00
DTLA,40.0,45.0,75600,CHARGING,,21:00:00
DTLA,30.0,35.0,75900,CHARGING,,21:05:00
LAX,27.5,30.0,75900,CHARGING,,21:05:00
DTLA,37.5,47.5,76200,CHARGING,,21:10:00
LAX,20.0,37.5,76200,CHARGING,,21:10:00
LAX,22.5,35.0,76500,CHARGING,,21:15:00
DTLA,22.5,27.5,76500,CHARGING,,21:15:00
DTLA,22.5,47.5,76800,CHARGING,,21:20:00
LAX,30.0,42.5,76800,CHARGING,,21:20:00
DTLA,25.0,30.0,76800,CHARGING,,21:20:00
DTLA,37.5,45.0,76800,CHARGING,,21:20:00
LAX,37.5,40.0,77100,CHARGING,,21:25:00
LAX,22.5,35.0,77400,CHARGING,,21:30:00
DTLA,35.0,42.5,77400,CHARGING,,21:30:00
DTLA,30.0,47.5,77700,CHARGING,,21:35:00
LAX,40.0,45.0,78000,CHARGING,,21:40:00
DTLA,25.0,32.5,78000,CHARGING,,21:40:00
LAX,20.0,30.0,78300,CHARGING,,21:45:00
DTLA,20.0,22.5,78300,CHARGING,,21:45:00
LAX,22.5,30.0,78600,CHARGING,,21:50:00
DTLA,22.5,42.5,78600,CHARGING,,21:50:00
DTLA,30.0,35.0,78600,CHARGING,,21:50:00
DTLA,32.5,35.0,78600,CHARGING,,21:50:00
LAX,37.5,52.5,78900,CHARGING,,21:55:00
DTLA,25.0,30.0,79200,CHARGING,,22:00:00
DTLA,25.0,30.0,79200,CHARGING,,22:00:00
DTLA,27.5,37.5,79800,CHARGING,,22:10:00
DTLA,27.5,40.0,79800,CHARGING,,22:10:00
LAX,20.0,40.0,80100,CHARGING,,22:15:00
LAX,20.0,32.5,80700,CHARGING,,22:25:00
LAX,20.0,32.5,80700,CHARGING,,22:25:00
DTLA,20.0,22.5,80700,CHARGING,,22:25:00
DTLA,20.0,25.0,80700,CHARGING,,22:25:00
LAX,20.0,27.5,81000,CHARGING,,22:30:00
LAX,25.0,30.0,81300,CHARGING,,22:35:00
LAX,32.5,37.5,81300,CHARGING,,22:35:00
DTLA,22.5,27.5,81300,CHARGING,,22:35:00
LAX,20.0,32.5,81600,CHARGING,,22:40:00
DTLA,22.5,47.5,82200,CHARGING,,22:50:00
LAX,22.5,27.5,82200,CHARGING,,22:50:00
LAX,22.5,27.5,82200,CHARGING,,22:50:00
LAX,22.5,27.5,82200,CHARGING,,22:50:00
DTLA,30.0,40.0,82200,CHARGING,,22:50:00
DTLA,22.5,27.5,82200,CHARGING,,22:50:00
LAX,22.5,27.5,82500,CHARGING,,22:55:00
LAX,22.5,27.5,82500,CHARGING,,22:55:00
DTLA,25.0,50.0,82500,CHARGING,,22:55:00
DTLA,37.5,42.5,82500,CHARGING,,22:55:00
LAX,27.5,32.5,82800,CHARGING,,23:00:00
DTLA,27.5,35.0,82800,CHARGING,,23:00:00
DTLA,22.5,25.0,83100,CHARGING,,23:05:00
DTLA,22.5,35.0,83100,CHARGING,,23:05:00
LAX,32.5,40.0,83100,CHARGING,,23:05:00
DTLA,22.5,25.0,83100,CHARGING,,23:05:00
LAX,22.5,25.0,83100,CHARGING,,23:05:00
LAX,35.0,37.5,83400,CHARGING,,23:10:00
DTLA,22.5,25.0,83400,CHARGING,,23:10:00
LAX,37.5,57.5,83700,CHARGING,,23:15:00
LAX,37.5,57.5,83700,CHARGING,,23:15:00
DTLA,22.5,25.0,84000,CHARGING,,23:20:00
LAX,20.0,32.5,84000,CHARGING,,23:20:00
LAX,20.0,32.5,84000,CHARGING,,23:20:00
LAX,20.0,27.5,84000,CHARGING,,23:20:00
DTLA,20.0,37.5,84000,CHARGING,,23:20:00
LAX,20.0,22.5,84300,CHARGING,,23:25:00
DTLA,25.0,30.0,84600,CHARGING,,23:30:00
LAX,22.5,25.0,84600,CHARGING,,23:30:00
LAX,32.5,40.0,84600,CHARGING,,23:30:00
LAX,32.5,40.0,84600,CHARGING,,23:30:00
DTLA,25.0,30.0,84600,CHARGING,,23:30:00
LAX,30.0,42.5,84900,CHARGING,,23:35:00
DTLA,25.0,30.0,84900,CHARGING,,23:35:00
DTLA,37.5,45.0,84900,CHARGING,,23:35:00
DTLA,22.5,27.5,85200,CHARGING,,23:40:00
DTLA,27.5,45.0,85500,CHARGING,,23:45:00
DTLA,20.0,30.0,85500,CHARGING,,23:45:00
LAX,45.0,52.5,85800,CHARGING,,23:50:00
LAX,25.0,32.5,85800,CHARGING,,23:50:00
DTLA,20.0,35.0,86100,CHARGING,,23:55:00
LAX,40.0,47.5,86100,CHARGING,,23:55:00
DTLA,20.0,35.0,86100,CHARGING,,23:55:00
LAX,25.0,27.5,87000,CHARGING,,24:10:00
LAX,32.5,50.0,87000,CHARGING,,24:10:00
LAX,57.5,60.0,87000,CHARGING,,24:10:00
DTLA,35.0,37.5,87000,CHARGING,,24:10:00
DTLA,35.0,37.5,87000,CHARGING,,24:10:00
LAX,47.5,52.5,87000,CHARGING,,24:10:00
